"","study_sh","scri_sample_id","date","state","cens.region","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","fc","fc_methodf","fc_methodm","fc_methodc"
"141","ladeq","leau_85","1981-06-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"142","ladeq","leau_86","1981-07-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",5,"sm9222e","sm9222","membranefiltration"
"143","ladeq","leau_87","1981-08-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",11,"sm9222e","sm9222","membranefiltration"
"144","ladeq","leau_88","1981-09-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",11,"sm9222e","sm9222","membranefiltration"
"145","ladeq","leau_89","1981-10-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"146","ladeq","leau_90","1981-11-17","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"147","ladeq","leau_876","1982-01-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",60,"sm9222e","sm9222","membranefiltration"
"148","ladeq","leau_881","1982-06-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",27,"sm9222e","sm9222","membranefiltration"
"149","ladeq","leau_888","1982-07-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"150","ladeq","leau_889","1982-02-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"151","ladeq","leau_890","1982-03-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",350,"sm9222e","sm9222","membranefiltration"
"152","ladeq","leau_893","1982-09-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",1100,"sm9222e","sm9222","membranefiltration"
